ML Catalog Number,Common Name,Date,Average Community Rating,Number of Ratings
634190097,Acorn Woodpecker,2025-04-21,0.0,0
634190093,Red-shouldered Hawk (elegans),2025-04-21,0.0,0
634190092,Red-shouldered Hawk (elegans),2025-04-21,0.0,0
634190084,Cooper's Hawk,2025-04-21,0.0,0
634190083,Cooper's Hawk,2025-04-21,0.0,0
634190081,Cooper's Hawk,2025-04-21,0.0,0
634190079,Cooper's Hawk,2025-04-21,0.0,0
634190078,Cooper's Hawk,2025-04-21,0.0,0
634190082,Cooper's Hawk,2025-04-21,0.0,0
634190080,Cooper's Hawk,2025-04-21,0.0,0
634190066,Anna's Hummingbird,2025-04-21,0.0,0
634190065,Anna's Hummingbird,2025-04-21,0.0,0
634190021,Wood Duck,2025-04-21,0.0,0
634067105,Song Sparrow,2025-04-19,0.0,0
634067089,House Sparrow,2025-04-19,0.0,0
634067087,House Sparrow,2025-04-19,0.0,0
634067080,Western Bluebird,2025-04-19,0.0,0
634067078,Western Bluebird,2025-04-19,0.0,0
634067079,Western Bluebird,2025-04-19,0.0,0
634067062,Northern Mockingbird,2025-04-19,0.0,0
634067056,American Crow,2025-04-19,0.0,0
634067050,Brown Pelican (California),2025-04-19,0.0,0
634067040,Brown Pelican (California),2025-04-19,0.0,0
634067030,Double-crested Cormorant,2025-04-19,0.0,0
634067017,Western Grebe,2025-04-19,0.0,0
634067014,Western Grebe,2025-04-19,0.0,0
634067005,Western Gull,2025-04-19,0.0,0
634067000,Anna's Hummingbird,2025-04-19,0.0,0
634066998,Anna's Hummingbird,2025-04-19,0.0,0
634066999,Anna's Hummingbird,2025-04-19,0.0,0
634066997,Anna's Hummingbird,2025-04-19,0.0,0
634066990,Anna's Hummingbird,2025-04-19,0.0,0
634066985,Anna's Hummingbird,2025-04-19,0.0,0
633872156,Northern Cardinal,2025-04-16,0.0,0
633872155,Northern Cardinal,2025-04-16,0.0,0
633872146,Purple Finch (Eastern),2025-04-16,0.0,0
633872121,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872123,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872122,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872120,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872113,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872111,Blue Jay,2025-04-16,0.0,0
633872109,Pileated Woodpecker,2025-04-16,0.0,0
633872106,Pileated Woodpecker,2025-04-16,0.0,0
633872099,Red-bellied Woodpecker,2025-04-16,0.0,0
633858664,Pileated Woodpecker,2025-04-16,0.0,0
